word	file	lines
abiotic	01-BioDIGS_project_overview.md	36
AGBT	02-research_team.md	45
Annandale	02-research_team.md	15
CosmosID	02-research_team.md	43
Cruces	02-research_team.md	24
culturable	01-BioDIGS_project_overview.md	16
CUNY	02-research_team.md	27
Diné	02-research_team.md	30
Doña	02-research_team.md	24
El	02-research_team.md	19,19
Guttman	02-research_team.md	27
Harrisonburg	02-research_team.md	22
Hawai'i	02-research_team.md	23,23
HBCUs	01-BioDIGS_project_overview.md	7
Illumina	03-data_tour.md	23
Mānoa	02-research_team.md	23
Meharry	02-research_team.md	26
Nanopore	03-data_tour.md	23
Notre	02-research_team.md	17
Paso	02-research_team.md	19,19
Petersburg	02-research_team.md	28
Spelman	02-research_team.md	16
Towson	02-research_team.md	17,25
Tsaile	02-research_team.md	30
underresourced	01-BioDIGS_project_overview.md	7
